Time,Temperature,Weather,Wind Speed,Humidity,Pressure,Date,AQI,NO2,O3,SO2,PM10,PM25
12:30,32.0,Haze.,6.0,36.0,1020.0,2024-02-04,181,1.0,117.0,33.3,98.8,79.0
12:30,32.0,Haze.,6.0,36.0,1020.0,2024-02-04,181,1.0,117.0,33.3,98.8,79.0
11:30,31.0,Haze.,6.0,40.0,1021.0,2024-02-04,171,1.0,114.0,36.0,88.8,71.0
11:30,31.0,Haze.,6.0,40.0,1021.0,2024-02-04,171,1.0,114.0,36.0,88.8,71.0
10:30,29.0,Haze.,7.0,48.0,1022.0,2024-02-04,197,334.0,40.5,21.0,113.8,91.0
10:30,29.0,Haze.,7.0,48.0,1022.0,2024-02-04,197,334.0,40.5,21.0,113.8,91.0
09:30,27.0,Haze.,6.0,58.0,1022.0,2024-02-04,197,334.0,40.5,21.0,113.8,91.0
09:30,27.0,Haze.,6.0,58.0,1022.0,2024-02-04,197,334.0,40.5,21.0,113.8,91.0
08:30,25.0,Haze.,6.0,65.0,1021.0,2024-02-04,121,7.0,49.0,30.0,67.0,43.0
08:30,25.0,Haze.,6.0,65.0,1021.0,2024-02-04,121,7.0,49.0,30.0,67.0,43.0
07:30,22.0,Fog.,6.0,78.0,1021.0,2024-02-04,203,3.0,8.5,23.0,118.8,95.0
07:30,22.0,Fog.,6.0,78.0,1021.0,2024-02-04,203,3.0,8.5,23.0,118.8,95.0
21:30,25.0,Haze.,7.0,61.0,1021.0,2024-02-04,155,7.0,73.3,32.0,73.8,59.0
21:30,25.0,Haze.,7.0,61.0,1021.0,2024-02-04,155,7.0,73.3,32.0,73.8,59.0
19:30,26.0,Haze.,13.0,58.0,1019.0,2024-02-04,155,5.3,90.3,27.7,73.8,59.0
19:30,26.0,Haze.,13.0,58.0,1019.0,2024-02-04,155,5.3,90.3,27.7,73.8,59.0
18:30,28.0,Haze.,11.0,51.0,1019.0,2024-02-04,152,3.7,101.7,25.3,71.3,57.0
18:30,28.0,Haze.,11.0,51.0,1019.0,2024-02-04,152,3.7,101.7,25.3,71.3,57.0
17:30,29.0,Haze.,11.0,45.0,1018.0,2024-02-04,152,2.0,113.0,23.0,71.3,57.0
17:30,29.0,Haze.,11.0,45.0,1018.0,2024-02-04,152,2.0,113.0,23.0,71.3,57.0
15:30,33.0,Haze.,6.0,32.0,1016.0,2024-02-05,157,12.0,57.8,16.7,83.7,60.67
15:30,33.0,Haze.,6.0,32.0,1016.0,2024-02-05,165,12.0,58.8,17.7,85.8,66.33
14:30,33.0,Haze.,4.0,30.0,1017.0,2024-02-05,176,17.0,32.2,15.0,98.0,75.0
14:30,33.0,Haze.,4.0,30.0,1017.0,2024-02-05,176,17.0,32.2,15.0,98.0,75.0
13:30,33.0,Haze.,6.0,34.0,1018.0,2024-02-05,163,17.0,30.4,15.0,92.0,65.0
13:30,33.0,Haze.,6.0,34.0,1018.0,2024-02-05,163,17.0,30.4,15.0,92.0,65.0
12:30,33.0,Haze.,9.0,36.0,1020.0,2024-02-05,134,134.0,13.5,44.0,60.0,48.0
12:30,33.0,Haze.,9.0,36.0,1020.0,2024-02-05,134,134.0,13.5,44.0,60.0,48.0
11:30,32.0,Haze.,7.0,38.0,1021.0,2024-02-05,152,1.0,99.0,19.0,71.3,57.0
11:30,32.0,Haze.,7.0,38.0,1021.0,2024-02-05,152,1.0,99.0,19.0,71.3,57.0
10:30,30.0,Haze.,6.0,49.0,1022.0,2024-02-05,137,202.0,25.3,13.0,61.3,49.0
10:30,30.0,Haze.,6.0,49.0,1022.0,2024-02-05,137,202.0,25.3,13.0,61.3,49.0
09:30,28.0,Haze.,9.0,55.0,1022.0,2024-02-05,137,3.0,69.7,21.7,61.3,49.0
09:30,28.0,Haze.,9.0,55.0,1022.0,2024-02-05,137,3.0,69.7,21.7,61.3,49.0
08:30,25.0,Haze.,4.0,69.0,1021.0,2024-02-05,89,4.0,55.0,23.0,48.0,30.0
08:30,25.0,Haze.,4.0,69.0,1021.0,2024-02-05,89,4.0,55.0,23.0,48.0,30.0
21:30,26.0,Passing clouds.,6.0,58.0,1020.0,2024-02-05,159,79.0,26.6,23.3,138.8,62.33
21:30,26.0,Passing clouds.,6.0,58.0,1020.0,2024-02-05,159,79.0,26.6,23.3,138.8,62.33
